{tackling, 해결하기}
{fifteen, 15}
{of, ~의}
{zero, 영}
{point, 점}
{seventy, 70}
{seven, 일곱}
{for, ~을 위해}
{CWE, CWE}
{ID, ID}
{four, 넷}
{hundred, 백}
{sixteen, 16}
{use, 사용}
{after, ~후}
{free, 해제}
{which, 어느}
{corresponds, 대응하다}
{to, ~에}
{about, 약}
{one, 하나}
{in, ~에}
{four, 넷}
{retrieved, 검색된}
{functions, 함수들}
{being, ~인 것}
{incorrectly, 잘못}
{labelled, 라벨된}
{as, ~로서}
{vulnerable, 취약한}
{for, ~을 위해}
{comparison, 비교}
{for, ~을 위해}
{the, 그}
{same, 같은}
{vulnerability, 취약점}
{type, 유형}
{Bin2Vec, Bin2Vec}
{achieves, 달성하다}
{near, 거의}
{perfect, 완벽한}
{performance, 성능}
{additionally, 추가로}
{we, 우리}
{can, 할 수 있다}
{indirectly, 간접적으로}
{compare, 비교하다}
{our, 우리의}
{results, 결과들}
{for, ~을 위한}
{the, 그}
{second, 두번째}
{task, 작업}
{with, ~와}
{those, 그것들}
{presented, 제시된}
{in, ~에}
{two, 둘}
{surveys, 조사들}
{that, ~인}
{use, 사용하다}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{as, ~로서}
{a, 하나의}
{benchmark, 벤치마크}
{for, ~을 위해}
{evaluating, 평가하는}
{commercial, 상업적}
{static, 정적}
{analysis, 분석}
{vulnerability, 취약점}
{discovery, 발견}
{tools, 도구들}
{it, 그것}
{must, ~해야 한다}
{be, ~이다}
{noted, 주목된}
{that, ~인}
{the, 그}
{commercial, 상업적}
{tools, 도구들}
{in, ~에}
{those, 그러한}
{experiments, 실험들}
{probably, 아마도}
{did, ~했다}
{not, 아니다}
{use, 사용하다}
{most, 대부분}
{of, ~의}
{the, 그}
{programs, 프로그램들}
{for, ~을 위해}
{each, 각}
{CWE, CWE}
{ID, ID}
{as, ~로서}
{a, 하나의}
{training, 훈련}
{set, 집합}
{additionally, 추가로}
{the, 그}
{tools, 도구들}
{considered, 고려된}
{in, ~에}
{those, 그러한}
{surveys, 조사들}
{are, ~이다}
{making, 만드는}
{their, 그들의}
{predictions, 예측들}
{based, 기반한}
{on, ~에}
{source, 소스}
{code, 코드}
{and, 그리고}
{not, 아니다}
{binaries, 바이너리들}
{nevertheless, 그럼에도 불구하고}
{the, 그}
{comparison, 비교}
{of, ~의}
{the, 그}
{reported, 보고된}
{accuracies, 정확도들}
{in, ~에}
{those, 그러한}
{surveys, 조사들}
{with, ~와}
{ours, 우리의 것}
{tells, 말해준다}
{us, 우리에게}
{that, ~인}
{our, 우리의}
{proposed, 제안된}
{representation, 표현}
{performs, 수행하다}
{better, 더 나은}
{for, ~을 위해}
{vulnerability, 취약점}
{discovery, 발견}
{than, ~보다}
{static, 정적}
{analysis, 분석}
{commercial, 상업적}
{tools, 도구들}
{for, ~을 위해}
{example, 예}
{on, ~에}
{CWE, CWE}
{IDs, ID들}
{from, ~로부터}
{one, 하나}
{hundred, 백}
{twenty, 20}
{one, 하나}
{to, ~까지}
{one, 하나}
{hundred, 백}
{twenty, 20}
{six, 여섯}
{which, 어느}
{are, ~이다}
{all, 모두}
{memory, 메모리}
{buffer, 버퍼}
{errors, 오류들}
{report, 보고하다}
{less, 덜}
{than, ~보다}
{sixty, 60}
{percent, 퍼센트}
{accuracy, 정확도}
{whereas, ~인 반면}
{our, 우리의}
{model, 모델}
{scores, 득점하다}
{higher, 더 높은}
{than, ~보다}
{eighty, 80}
{percent, 퍼센트}
{for, ~을 위해}
{each, 각}
{of, ~의}
{those, 그러한}
{CWE, CWE}
{IDs, ID들}
{for, ~을 위해}
{tools, 도구들}
{studied, 연구된}
{in, ~에}
{our, 우리의}
{model, 모델}
{consistently, 일관되게}
{outperforms, 능가하다}
{three, 셋}
{out, ~밖}
{of, ~의}
{four, 넷}
{static, 정적}
{analysis, 분석}
{tools, 도구들}
{and, 그리고}
{for, ~을 위해}
{the, 그}
{last, 마지막}
{one, 하나}
{it, 그것}
{outperforms, 능가하다}
{it, 그것}
{by, ~만큼}
{a, 하나의}
{considerable, 상당한}
{margin, 차이}
{in, ~에}
{all, 모든}
{cases, 경우들}
{but, 하지만}
{two, 둘}
{those, 그것들}
{two, 둘}
{are, ~이다}
{CWE, CWE}
{ID, ID}
{one, 하나}
{hundred, 백}
{twenty, 20}
{two, 둘}
{heap, 힙}
{based, 기반}
{buffer, 버퍼}
{overflow, 오버플로우}
{where, ~인 곳}
{the, 그}
{commercial, 상업적}
{tool, 도구}
{scores, 득점하다}
{a, 몇몇}
{few, 몇몇}
{percents, 퍼센트}
{higher, 더 높은}
{and, 그리고}
{CWE, CWE}
{ID, ID}
{five, 다섯}
{hundred, 백}
{ninety, 90}
{free, 해제}
{of, ~의}
{memory, 메모리}
{not, 아니다}
{on, ~에}
{the, 그}
{heap, 힙}
{these, 이러한}
{results, 결과들}
{suggest, 제안하다}
{that, ~인}
{our, 우리의}
{representation, 표현}
{has, 가지다}
{good, 좋은}
{prospects, 전망들}
{to, ~하기 위해}
{be, ~이다}
{used, 사용된}
{in, ~에}
{vulnerability, 취약점}
{discovery, 발견}
{tools, 도구들}
{for, ~을 위해}
{almost, 거의}
{every, 모든}
{vulnerability, 취약점}
{type, 유형}
{our, 우리의}
{prediction, 예측}
{accuracy, 정확도}
{performance, 성능}
{is, ~이다}
{better, 더 나은}
{than, ~보다}
{eighty, 80}
{percent, 퍼센트}
{and, 그리고}
{for, ~을 위해}
{many, 많은}
{it, 그것}
{is, ~이다}
{higher, 더 높은}
{than, ~보다}
{ninety, 90}
{percent, 퍼센트}
{software, 소프트웨어}
{in, ~에}
{production, 생산}
{is, ~이다}
{usually, 보통}
{complex, 복잡한}
{and, 그리고}
{large, 큰}
{capable, 할 수 있는}
{of, ~의}
{performing, 수행하는}
{many, 많은}
{different, 다른}
{functions, 함수들}
{in, ~에}
{different, 다른}
{use, 사용}
{cases, 경우들}
{on, ~에}
{the, 그}
{contrary, 반대로}
{programs, 프로그램들}
{in, ~에}
{our, 우리의}
{evaluation, 평가}
{datasets, 데이터셋들}
{are, ~이다}
{single, 단일}
{purpose, 목적}
{solving, 해결하는}
{a, 하나의}
{single, 단일}
{task, 작업}
{with, ~와}
{a, 하나의}
{relatively, 상대적으로}
{small, 작은}
{number, 수}
{of, ~의}
{steps, 단계들}
{additionally, 추가로}
{the, 그}
{entirety, 전체}
{of, ~의}
{each, 각}
{program, 프로그램}
{in, ~에}
{juliet, 줄리엣}
{test, 테스트}
{suite, 스위트}
{is, ~이다}
{relevant, 관련된}
{to, ~에}
{vulnerability, 취약점}
{discovery, 발견}
{tasks, 작업들}
{unlike, ~와 달리}
{real, 실제}
{software, 소프트웨어}
{where, ~인 곳}
{most, 대부분}
{of, ~의}
{the, 그}
{code, 코드}
{is, ~이다}
{not, 아니다}
{vulnerable, 취약한}
{and, 그리고}
{only, 단지}
{a, 하나의}
{small, 작은}
{part, 부분}
{of, ~의}
{it, 그것}
{may, ~일 수 있다}
{have, 가지다}
{an, 하나의}
{issue, 문제}
{this, 이것}
{can, 할 수 있다}
{potentially, 잠재적으로}
{be, ~이다}
{solved, 해결된}
{by, ~에 의해}
{introducing, 도입하는}
{representations, 표현들}
{that, ~인}
{can, 할 수 있다}
{be, ~이다}
{computed, 계산된}
{on, ~에}
{different, 다른}
{levels, 수준들}
{of, ~의}
{coarseness, 거칠기}
{this, 이것}
{is, ~이다}
{a, 하나의}
{non, 비}
{trivial, 사소한}
{task, 작업}
{but, 하지만}
{our, 우리의}
{findings, 발견들}
{hint, 암시하다}
{that, ~인}
{once, 일단}
{completed, 완료된}
{we, 우리}
{may, ~일 수 있다}
{be, ~이다}
{able, 할 수 있는}
{to, ~하기 위해}
{achieve, 달성하다}
{far, 훨씬}
{better, 더 나은}
{results, 결과들}
{for, ~을 위해}
{different, 다른}
{problems, 문제들}
{on, ~에}
{production, 생산}
{software, 소프트웨어}
{than, ~보다}
{is, ~이다}
{currently, 현재}
{possible, 가능한}
{additionally, 추가로}
{we, 우리}
{need, 필요하다}
{to, ~하기 위해}
{get, 얻다}
{a, 하나의}
{better, 더 나은}
{understanding, 이해}
{of, ~의}
{what, 무엇}
{properties, 속성들}
{are, ~이다}
{captured, 포착된}
{with, ~와}
{such, 그러한}
{a, 하나의}
{representation, 표현}
{and, 그리고}
{how, 어떻게}
{is, ~이다}
{best, 최고로}
{to, ~하기 위해}
{use, 사용하다}
{those, 그것들}
{or, 또는}
{how, 어떻게}
{to, ~하기 위해}
{add, 추가하다}
{other, 다른}
{desirable, 바람직한}
{properties, 속성들}
{another, 다른}
{challenge, 도전과제}
{left, 남겨진}
{for, ~을 위해}
{future, 미래}
{work, 작업}
{is, ~이다}
{extending, 확장하는}
{this, 이}
{approach, 접근법}
{to, ~에}
{cross, 교차}
{architecture, 아키텍처}
{and, 그리고}
{cross, 교차}
{compiler, 컴파일러}
{binaries, 바이너리들}
{there, 그곳에}
{are, ~이다}
{several, 여러}
{avenues, 방법들}
{for, ~을 위해}
{extending, 확장하는}
{our, 우리의}
{work, 작업}
{first, 첫째}
{it, 그것}
{will, ~할 것이다}
{be, ~이다}
{interesting, 흥미로운}
{to, ~하기 위해}
{see, 보다}
{whether, ~인지 아닌지}
{using, 사용하는}
{recent, 최근의}
{extensions, 확장들}
{of, ~의}
{GCNs, GCN들}
{such, 그러한}
{as, ~처럼}
{the, 그}
{MixHop, MixHop}
{model, 모델}
{that, ~인}
{propagates, 전파하다}
{information, 정보}
{through, ~을 통해}
{higher, 더 높은}
{order, 순서}
{node, 노드}
{neighbourhoods, 이웃들}
{will, ~할 것이다}
{result, 결과를 낳다}
{in, ~에}
{better, 더 나은}
{performance, 성능}
{additionally, 추가로}
{to, ~하기 위해}
{test, 테스트하다}
{the, 그}
{utility, 유용성}
{of, ~의}
{Bin2Vec, Bin2Vec}
{in, ~에}
{real, 실제}
{world, 세계}
{problems, 문제들}
{we, 우리}
{would, ~할 것이다}
{like, 좋아하다}
{to, ~하기 위해}
{apply, 적용하다}
{it, 그것}
{to, ~하기 위해}
{analyze, 분석하다}
{more, 더}
{complex, 복잡한}
{and, 그리고}
{larger, 더 큰}
{scale, 규모}
{vulnerability, 취약점}
{datasets, 데이터셋들}
{we, 우리}
{introduced, 소개했다}
{Bin2Vec, Bin2Vec}
{a, 하나의}
{new, 새로운}
{model, 모델}
{for, ~을 위해}
{learning, 학습하는}
{distributed, 분산된}
{representations, 표현들}
{of, ~의}
{binary, 바이너리}
{executable, 실행가능한}
{programs, 프로그램들}
{our, 우리의}
{learned, 학습된}
{representation, 표현}
{has, 가지다}
{strong, 강력한}
{potential, 잠재력}
{to, ~하기 위해}
{be, ~이다}
{used, 사용된}
{in, ~에}
{the, 그}
{context, 맥락}
{of, ~의}
{a, 하나의}
{wide, 넓은}
{variety, 다양성}
{of, ~의}
{binary, 바이너리}
{analysis, 분석}
{tasks, 작업들}
{we, 우리}
{demonstrate, 입증하다}
{this, 이것}
{by, ~에 의해}
{putting, 놓는}
{our, 우리의}
{learned, 학습된}
{representations, 표현들}
{to, ~에}
{use, 사용}
{for, ~을 위해}
{classification, 분류}
{in, ~에}
{two, 둘}
{semantically, 의미론적으로}
{different, 다른}
{tasks, 작업들}
{algorithm, 알고리즘}
{classification, 분류}
{and, 그리고}
{vulnerability, 취약점}
{discovery, 발견}
{we, 우리}
{show, 보여주다}
{that, ~인}
{for, ~을 위해}
{both, 양쪽}
{tasks, 작업들}
{our, 우리의}
{proposed, 제안된}
{representation, 표현}
{achieves, 달성하다}
{better, 더 나은}
{qualitative, 질적}
{and, 그리고}
{quantitative, 양적}
{performance, 성능}
{in, ~에}
{comparison, 비교}
{to, ~와}
{state, 상태}
{of, ~의}
{the, 그}
{art, 기술}
{approaches, 접근법들}
{including, 포함하여}
{inst2vec, inst2vec}
{and, 그리고}
{common, 일반적인}
{machine, 기계}
{learning, 학습}
{baselines, 기준선들}
